               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.085675,             0.01098,            0.049977,             0.34703,              0.4017,             0.29045,             0.18255,            0.074864,           0.0085084,            0.044696,           0.0093369,           0.0093369,           0.0093369
                  37,            0.085509,            0.010785,            0.049886,             0.41431,             0.37544,             0.32373,             0.20403,            0.075138,           0.0083044,             0.04458,           0.0092995,           0.0092995,           0.0092995
                  38,            0.085447,            0.010666,             0.04951,             0.45596,             0.33612,             0.32175,             0.20471,            0.074045,           0.0083191,            0.043754,           0.0092611,           0.0092611,           0.0092611
                  39,            0.084867,            0.010541,            0.049241,             0.38354,             0.38171,             0.31988,             0.20363,            0.074143,           0.0083799,            0.043841,           0.0092219,           0.0092219,           0.0092219
                  40,            0.085385,             0.01054,            0.049575,             0.44054,             0.35525,             0.32512,             0.20432,            0.074737,            0.008319,            0.043615,           0.0091817,           0.0091817,           0.0091817
                  41,            0.084621,            0.010791,            0.048857,             0.42619,             0.41115,             0.34305,             0.21853,            0.073929,           0.0084085,            0.042949,           0.0091406,           0.0091406,           0.0091406
                  42,            0.084271,            0.010646,            0.049149,             0.52109,             0.35733,             0.33866,             0.21735,            0.073602,           0.0083763,            0.043189,           0.0090986,           0.0090986,           0.0090986
                  43,             0.08431,            0.010643,            0.048366,             0.50696,             0.37187,             0.33965,              0.2177,            0.073724,           0.0083653,            0.043041,           0.0090557,           0.0090557,           0.0090557
                  44,            0.084004,            0.010751,            0.048464,             0.41789,             0.42815,             0.34385,              0.2237,            0.073079,           0.0084427,            0.042766,           0.0090119,           0.0090119,           0.0090119
                  45,             0.08357,            0.010583,            0.048015,             0.44762,              0.4108,             0.34043,             0.22124,            0.073148,           0.0082833,            0.042834,           0.0089673,           0.0089673,           0.0089673
                  46,            0.082852,            0.010601,            0.048156,             0.48439,             0.38346,             0.35446,             0.23213,            0.072537,           0.0082443,            0.042396,           0.0089218,           0.0089218,           0.0089218
                  47,            0.082851,            0.010544,            0.047561,             0.42775,             0.44484,             0.35883,             0.23295,            0.072553,           0.0081971,            0.042425,           0.0088755,           0.0088755,           0.0088755
                  48,            0.083178,            0.010335,            0.047348,             0.27287,             0.52503,             0.36823,             0.23944,            0.072616,           0.0081709,            0.041699,           0.0088283,           0.0088283,           0.0088283
                  49,            0.083026,            0.010476,            0.046995,             0.38846,             0.42011,             0.35795,             0.23425,            0.072338,           0.0081488,            0.041821,           0.0087804,           0.0087804,           0.0087804
                  50,             0.08244,            0.010517,             0.04664,             0.45769,              0.4012,             0.36361,             0.24023,            0.072044,           0.0081017,            0.041672,           0.0087316,           0.0087316,           0.0087316
                  51,            0.082127,            0.010476,            0.047278,             0.40226,             0.45909,             0.37561,             0.24662,            0.071745,           0.0081036,            0.041415,            0.008682,            0.008682,            0.008682
                  52,            0.082572,            0.010548,            0.046701,             0.37669,             0.46057,             0.36933,             0.24344,            0.071916,           0.0081348,            0.041166,           0.0086316,           0.0086316,           0.0086316
                  53,            0.081729,            0.010446,            0.046095,             0.42563,             0.44317,             0.37862,             0.25135,            0.071463,           0.0079931,            0.040975,           0.0085805,           0.0085805,           0.0085805
                  54,            0.082399,            0.010503,            0.045993,             0.41901,             0.44817,             0.38097,             0.25206,            0.071156,           0.0080941,            0.040758,           0.0085286,           0.0085286,           0.0085286
                  55,            0.082465,            0.010436,             0.04604,             0.52307,             0.37758,             0.38241,             0.25024,            0.071173,            0.008068,            0.040626,           0.0084759,           0.0084759,           0.0084759
                  56,            0.082013,            0.010368,            0.046454,             0.51898,             0.40969,             0.38321,             0.25309,             0.07112,           0.0080601,            0.040528,           0.0084225,           0.0084225,           0.0084225
                  57,             0.08129,            0.010545,            0.045702,             0.44582,             0.41987,             0.38364,              0.2552,            0.071293,           0.0081974,            0.040597,           0.0083684,           0.0083684,           0.0083684
                  58,            0.081692,            0.010333,            0.046144,             0.49955,             0.41067,             0.38097,             0.25354,            0.071081,           0.0080306,            0.040518,           0.0083136,           0.0083136,           0.0083136
                  59,            0.082026,            0.010389,            0.045348,             0.40193,              0.4289,             0.39442,              0.2655,            0.070672,           0.0079173,            0.040156,           0.0082581,           0.0082581,           0.0082581
                  60,            0.081328,            0.010299,            0.045399,             0.42846,             0.39285,             0.38556,             0.26249,            0.070323,           0.0079757,             0.04012,           0.0082019,           0.0082019,           0.0082019
                  61,            0.080826,            0.010241,            0.044828,             0.38539,             0.44245,             0.39371,             0.26548,             0.07062,           0.0079377,            0.039812,            0.008145,            0.008145,            0.008145
                  62,            0.080653,            0.010119,            0.044887,             0.37664,              0.4663,             0.40255,             0.27125,            0.070308,           0.0079243,            0.039489,           0.0080875,           0.0080875,           0.0080875
                  63,            0.079701,            0.010206,            0.044861,             0.33064,             0.49756,             0.40531,             0.27157,            0.070171,           0.0079523,            0.039462,           0.0080294,           0.0080294,           0.0080294
                  64,            0.081317,            0.010413,            0.044906,             0.43743,             0.42837,             0.39904,             0.26644,            0.070158,           0.0079621,            0.039533,           0.0079706,           0.0079706,           0.0079706
                  65,            0.080963,            0.010332,            0.044821,             0.46569,             0.44156,              0.3998,             0.26773,            0.070124,           0.0079032,            0.039292,           0.0079112,           0.0079112,           0.0079112
                  66,            0.080253,            0.010287,            0.044616,             0.38166,             0.44929,             0.40366,              0.2709,            0.069992,           0.0078896,            0.039257,           0.0078512,           0.0078512,           0.0078512
                  67,            0.081187,            0.010242,            0.044593,             0.45614,             0.42914,             0.40578,             0.27307,            0.069753,           0.0078459,            0.039123,           0.0077907,           0.0077907,           0.0077907
                  68,            0.079043,            0.010116,            0.044322,               0.415,             0.46401,             0.41275,             0.27978,            0.069703,           0.0078737,            0.039039,           0.0077296,           0.0077296,           0.0077296
